abs_error_bpm,confidence,extractor,in_claimed_range,noise_sigma,null_case,recovered_bpm,returned_none,seed,snr_db,status,test,truth_bpm,weights_mode
0.0,0.316402,breathing,True,,,15.0,False,,20.0,VitalStatus.Unreliable,baseline_combined,15.0,empty
0.0,0.316402,breathing,True,,,15.0,False,,20.0,VitalStatus.Unreliable,baseline_combined,15.0,ones
,,heart,,,,,True,,20.0,,baseline_combined,72.0,empty
1.1707,0.793195,heart,True,,,73.1707,False,,20.0,VitalStatus.Valid,baseline_combined,72.0,ones
0.0,0.284501,breathing,True,,,6.0,False,,20.0,VitalStatus.Unreliable,sweep,6.0,empty
0.0,0.284501,breathing,True,,,6.0,False,,20.0,VitalStatus.Unreliable,sweep,6.0,ones
0.0,0.284629,breathing,True,,,10.0,False,,20.0,VitalStatus.Unreliable,sweep,10.0,empty
0.0,0.284629,breathing,True,,,10.0,False,,20.0,VitalStatus.Unreliable,sweep,10.0,ones
0.0,0.283558,breathing,True,,,15.0,False,,20.0,VitalStatus.Unreliable,sweep,15.0,empty
0.0,0.283558,breathing,True,,,15.0,False,,20.0,VitalStatus.Unreliable,sweep,15.0,ones
0.0,0.283454,breathing,True,,,20.0,False,,20.0,VitalStatus.Unreliable,sweep,20.0,empty
0.0,0.283454,breathing,True,,,20.0,False,,20.0,VitalStatus.Unreliable,sweep,20.0,ones
0.0,0.283606,breathing,True,,,30.0,False,,20.0,VitalStatus.Unreliable,sweep,30.0,empty
0.0,0.283606,breathing,True,,,30.0,False,,20.0,VitalStatus.Unreliable,sweep,30.0,ones
,,heart,,,,,True,,20.0,,sweep,40.0,empty
8.0,0.467011,heart,True,,,48.0,False,,20.0,VitalStatus.Degraded,sweep,40.0,ones
,,heart,,,,,True,,20.0,,sweep,60.0,empty
0.0,0.933209,heart,True,,,60.0,False,,20.0,VitalStatus.Valid,sweep,60.0,ones
,,heart,,,,,True,,20.0,,sweep,90.0,empty
0.4478,0.955068,heart,True,,,89.5522,False,,20.0,VitalStatus.Valid,sweep,90.0,ones
,,heart,,,,,True,,20.0,,sweep,120.0,empty
0.0,0.966811,heart,True,,,120.0,False,,20.0,VitalStatus.Valid,sweep,120.0,ones
0.0,0.283232,breathing,True,0.0001,,15.0,False,,40.0,VitalStatus.Unreliable,snr_sweep,15.0,ones
0.0,0.283305,breathing,True,0.0003,,15.0,False,,30.46,VitalStatus.Unreliable,snr_sweep,15.0,ones
0.0,0.283558,breathing,True,0.001,,15.0,False,,20.0,VitalStatus.Unreliable,snr_sweep,15.0,ones
0.0,0.284279,breathing,True,0.003,,15.0,False,,10.46,VitalStatus.Unreliable,snr_sweep,15.0,ones
0.0,0.287441,breathing,True,0.01,,15.0,False,,0.0,VitalStatus.Unreliable,snr_sweep,15.0,ones
0.0,0.305514,breathing,True,0.03,,15.0,False,,-9.54,VitalStatus.Unreliable,snr_sweep,15.0,ones
10.0,0.396482,breathing,True,0.1,,25.0,False,,-20.0,VitalStatus.Unreliable,snr_sweep,15.0,ones
,,breathing,,0.3,,,True,,-29.54,,snr_sweep,15.0,ones
0.2892,0.944235,heart,True,0.0001,,72.2892,False,,40.0,VitalStatus.Valid,snr_sweep,72.0,ones
0.2892,0.9442,heart,True,0.0003,,72.2892,False,,30.46,VitalStatus.Valid,snr_sweep,72.0,ones
0.2892,0.944068,heart,True,0.001,,72.2892,False,,20.0,VitalStatus.Valid,snr_sweep,72.0,ones
0.2892,0.943602,heart,True,0.003,,72.2892,False,,10.46,VitalStatus.Valid,snr_sweep,72.0,ones
0.2892,0.940947,heart,True,0.01,,72.2892,False,,0.0,VitalStatus.Valid,snr_sweep,72.0,ones
0.2892,0.924997,heart,True,0.03,,72.2892,False,,-9.54,VitalStatus.Valid,snr_sweep,72.0,ones
0.2892,0.797527,heart,True,0.1,,72.2892,False,,-20.0,VitalStatus.Valid,snr_sweep,72.0,ones
0.2892,0.390999,heart,True,0.3,,72.2892,False,,-29.54,VitalStatus.Degraded,snr_sweep,72.0,ones
,,breathing,,,pure_noise_low,,True,,,,null_pure_noise_low,,ones
,0.072854,heart,True,,pure_noise_low,53.5714,False,,,VitalStatus.Unreliable,null_pure_noise_low,,ones
,,breathing,,,pure_noise_high,,True,,,,null_pure_noise_high,,ones
,0.072854,heart,True,,pure_noise_high,53.5714,False,,,VitalStatus.Unreliable,null_pure_noise_high,,ones
,0.0,breathing,True,,pure_dc,17.0,False,,,VitalStatus.Unreliable,null_pure_dc,,ones
,0.089714,heart,True,,pure_dc,96.7742,False,,,VitalStatus.Unreliable,null_pure_dc,,ones
,,breathing,,,linear_ramp,,True,,,,null_linear_ramp,,ones
,0.072538,heart,True,,linear_ramp,90.9091,False,,,VitalStatus.Unreliable,null_linear_ramp,,ones
,,breathing,,,pure_noise,,True,20260810,,,null_noise_seedsweep,,ones
,,breathing,,,pure_noise,,True,20260811,,,null_noise_seedsweep,,ones
,,breathing,,,pure_noise,,True,20260812,,,null_noise_seedsweep,,ones
,,breathing,,,pure_noise,,True,20260813,,,null_noise_seedsweep,,ones
,,breathing,,,pure_noise,,True,20260814,,,null_noise_seedsweep,,ones
,,breathing,,,pure_noise,,True,20260815,,,null_noise_seedsweep,,ones
,,breathing,,,pure_noise,,True,20260816,,,null_noise_seedsweep,,ones
,,breathing,,,pure_noise,,True,20260817,,,null_noise_seedsweep,,ones
,,breathing,,,pure_noise,,True,20260818,,,null_noise_seedsweep,,ones
,,breathing,,,pure_noise,,True,20260819,,,null_noise_seedsweep,,ones
,,breathing,,,pure_noise,,True,20260820,,,null_noise_seedsweep,,ones
,,breathing,,,pure_noise,,True,20260821,,,null_noise_seedsweep,,ones
,,breathing,,,pure_noise,,True,20260822,,,null_noise_seedsweep,,ones
,,breathing,,,pure_noise,,True,20260823,,,null_noise_seedsweep,,ones
,,breathing,,,pure_noise,,True,20260824,,,null_noise_seedsweep,,ones
,,breathing,,,pure_noise,,True,20260825,,,null_noise_seedsweep,,ones
,,breathing,,,pure_noise,,True,20260826,,,null_noise_seedsweep,,ones
,,breathing,,,pure_noise,,True,20260827,,,null_noise_seedsweep,,ones
,,breathing,,,pure_noise,,True,20260828,,,null_noise_seedsweep,,ones
,,breathing,,,pure_noise,,True,20260829,,,null_noise_seedsweep,,ones
,0.072854,heart,True,,pure_noise,53.5714,False,20260810,,VitalStatus.Unreliable,null_noise_seedsweep,,ones
,0.065547,heart,True,,pure_noise,115.3846,False,20260811,,VitalStatus.Unreliable,null_noise_seedsweep,,ones
,0.134114,heart,True,,pure_noise,77.9221,False,20260812,,VitalStatus.Unreliable,null_noise_seedsweep,,ones
,0.163197,heart,True,,pure_noise,89.5522,False,20260813,,VitalStatus.Unreliable,null_noise_seedsweep,,ones
,0.092961,heart,True,,pure_noise,51.7241,False,20260814,,VitalStatus.Unreliable,null_noise_seedsweep,,ones
,0.298872,heart,True,,pure_noise,85.7143,False,20260815,,VitalStatus.Unreliable,null_noise_seedsweep,,ones
,0.180937,heart,True,,pure_noise,83.3333,False,20260816,,VitalStatus.Unreliable,null_noise_seedsweep,,ones
,0.122289,heart,True,,pure_noise,68.1818,False,20260817,,VitalStatus.Unreliable,null_noise_seedsweep,,ones
,0.236396,heart,True,,pure_noise,78.9474,False,20260818,,VitalStatus.Unreliable,null_noise_seedsweep,,ones
,0.174428,heart,True,,pure_noise,117.6471,False,20260819,,VitalStatus.Unreliable,null_noise_seedsweep,,ones
,0.278853,heart,True,,pure_noise,105.2632,False,20260820,,VitalStatus.Unreliable,null_noise_seedsweep,,ones
,0.070865,heart,True,,pure_noise,74.0741,False,20260821,,VitalStatus.Unreliable,null_noise_seedsweep,,ones
,0.134647,heart,True,,pure_noise,48.0,False,20260822,,VitalStatus.Unreliable,null_noise_seedsweep,,ones
,0.153866,heart,True,,pure_noise,49.1803,False,20260823,,VitalStatus.Unreliable,null_noise_seedsweep,,ones
,0.152188,heart,True,,pure_noise,96.7742,False,20260824,,VitalStatus.Unreliable,null_noise_seedsweep,,ones
,0.287078,heart,True,,pure_noise,103.4483,False,20260825,,VitalStatus.Unreliable,null_noise_seedsweep,,ones
,0.264245,heart,True,,pure_noise,90.9091,False,20260826,,VitalStatus.Unreliable,null_noise_seedsweep,,ones
,0.105115,heart,True,,pure_noise,58.2524,False,20260827,,VitalStatus.Unreliable,null_noise_seedsweep,,ones
,0.098537,heart,True,,pure_noise,63.1579,False,20260828,,VitalStatus.Unreliable,null_noise_seedsweep,,ones
,0.161087,heart,True,,pure_noise,77.9221,False,20260829,,VitalStatus.Unreliable,null_noise_seedsweep,,ones
